label,run,budget,regime,H,E,split,layer_from,layer_to,rank,subspace_overlap,chance_overlap,overlap_over_chance
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,12,63,0.2374,0.0784,3.029
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,13,63,0.2291,0.0784,2.924
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,3,14,63,0.2288,0.0784,2.92
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,2,63,0.1842,0.0784,2.35
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,3,63,0.2337,0.0784,2.981
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,4,63,1.0,0.0784,12.759
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,5,63,0.2587,0.0784,3.301
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,6,63,0.2604,0.0784,3.322
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,7,63,0.266,0.0784,3.393
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,8,63,0.2729,0.0784,3.482
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,9,63,0.2677,0.0784,3.415
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,10,63,0.2675,0.0784,3.413
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,11,63,0.2622,0.0784,3.345
moe_coarse_1e19,moe_coarse_1e19,1e19,full,800,64,sequence,4,12,63,0.2601,0.0784,3.318
